rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence	empirical_fdr	null_a_n_permutations	abundance_matched_p	abundance_decile_tumour	abundance_decile_immune	clears_empirical_fdr	clears_abundance_matched
1	SEMA4C_PLXNB2	SEMA4C - PLXNB2	SEMA4	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	SEMA4C	PLXNB2	SEMA4C	PLXNB2	LB	TIME-B	primary	8	-0.9523809523809524	0.9523809523809524	0.0002604000243872511	7	0.875	-0.9285714285714288	0.002519472403794688	0.023809523809523614	fitted	SEMA4C:19/27	PLXNB2:8/8		True	True	PMID: 27533782	0.22785	10000	0.0023997600239976003	5	7	False	True
2	COL1A2_CD44	COL1A2 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL1A2	CD44	COL1A2	CD44	LB	TIME-B	primary	8	0.9285714285714287	0.9285714285714287	0.0008629681828999772	8	1.0	0.9285714285714287	0.0008629681828999772	0.0	fitted	COL1A2:27/27	CD44:8/8	secreted	False	True	KEGG: hsa04512	0.22785	10000	0.0015998400159984002	8	8	False	True
3	HSPG2_DAG1	HSPG2 - DAG1	HSPG	ECM-Receptor	brain	ligand_tumour__receptor_immune	HSPG2	DAG1	HSPG2	DAG1	LB	TIME-B	primary	8	-0.880952380952381	0.8809523809523812	0.0038503204637324023	4	0.5				below_min_n (4 < 6)	HSPG2:24/27	DAG1:4/8			True	KEGG: hsa04512	0.46431666666666666	10000	0.012198780121987801	6	2	False	True
4	ICAM1_SPN	ICAM1 - SPN	ICAM	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	ICAM1	SPN	ICAM1	SPN	LB	TIME-B	primary	8	0.8571428571428572	0.8571428571428572	0.006530017254715293	6	0.75	0.8285714285714287	0.04156268221574335	-0.02857142857142847	fitted	ICAM1:22/27	SPN:6/8		True	True	PMID: 1683685	0.46431666666666666	10000	0.023397660233976603	8	4	False	True
5	CEACAM1_CEACAM5	CEACAM1 - CEACAM5	CEACAM	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	CEACAM1	CEACAM5	CEACAM1	CEACAM5	TIME-B	LB	primary	8	0.8571428571428572	0.8571428571428572	0.006530017254715293	8	1.0	0.8571428571428572	0.006530017254715293	0.0	fitted	CEACAM1:8/8	CEACAM5:22/27	secreted	True	True	PMID: 11590190	0.46431666666666666	10000	0.010498950104989501	9	7	False	True
6	CEACAM1_CEACAM5	CEACAM1 - CEACAM5	CEACAM	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	CEACAM1	CEACAM5	CEACAM1	CEACAM5	LB	TIME-B	primary	8	0.8571428571428572	0.8571428571428572	0.006530017254715293	6	0.75	0.8857142857142858	0.01884548104956266	0.02857142857142858	fitted	CEACAM1:26/27	CEACAM5:6/8	secreted	True	True	PMID: 11590190	0.46431666666666666	10000	0.013498650134986502	9	6	False	True
7	TNC_SDC1	TNC - SDC1	TENASCIN	ECM-Receptor	brain	ligand_immune__receptor_tumour	TNC	SDC1	TNC	SDC1	TIME-B	LB	primary	8	-0.8333333333333335	0.8333333333333335	0.010175540123456757	8	1.0	-0.8333333333333335	0.010175540123456757	0.0	fitted	TNC:8/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512	0.5397857142857143	10000	0.0081991800819918	8	7	False	True
8	COL6A1_SDC4	COL6A1 - SDC4	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A1	SDC4	COL6A1	SDC4	LB	TIME-B	primary	8	0.8095238095238096	0.8095238095238096	0.01490266768623008	5	0.625				below_min_n (5 < 6)	COL6A1:27/27	SDC4:5/8	secreted	False		KEGG: hsa04512	0.5607	10000	0.0316968303169683	8	4	False	True
9	COL1A1_CD44	COL1A1 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL1A1	CD44	COL1A1	CD44	LB	TIME-B	primary	8	0.8095238095238096	0.8095238095238095	0.01490266768623008	8	1.0	0.8095238095238096	0.01490266768623008	0.0	fitted	COL1A1:25/27	CD44:8/8	secreted	False	True	KEGG: hsa04512	0.5607	10000	0.020497950204979503	8	8	False	True
10	APP_CD74	APP - CD74	APP	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	APP	CD74	APP	CD74	LB	TIME-B	primary	8	0.8095238095238096	0.8095238095238096	0.01490266768623008	8	1.0	0.8095238095238096	0.01490266768623008	0.0	fitted	APP:26/27	CD74:8/8		True	True	PMID: 19849849	0.5607	10000	0.0217978202179782	9	9	False	True
11	ANGPTL4_SDC3	ANGPTL4 - SDC3	ANGPTL	Secreted Signaling	brain	ligand_immune__receptor_tumour	ANGPTL4	SDC3	ANGPTL4	SDC3	TIME-B	LB	primary	8	0.7619047619047621	0.761904761904762	0.028004939153071815	4	0.5				below_min_n (4 < 6)	ANGPTL4:4/8	SDC3:15/27				PMID: 29017031	0.8430957446808511	10000	0.0428957104289571	3	1	False	True
14	COL6A2_SDC4	COL6A2 - SDC4	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A2	SDC4	COL6A2	SDC4	LB	TIME-B	primary	8	0.7380952380952381	0.7380952380952381	0.03655276105286082	5	0.625				below_min_n (5 < 6)	COL6A2:20/27	SDC4:5/8	secreted	False		KEGG: hsa04512	0.8430957446808511	10000	0.0443955604439556	6	4	False	True
15	ICAM1_ITGAL	ICAM1 - ITGAL	ICAM	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	ICAM1	ITGAL	ICAM1	ITGAL	LB	TIME-B	primary	8	0.7380952380952381	0.7380952380952381	0.03655276105286082	5	0.625				below_min_n (5 < 6)	ICAM1:22/27	ITGAL:5/8		True	True	PMID: 23602662	0.8430957446808511	10000	0.047495250474952504	8	2	False	True
16	PTN_NCL	PTN - NCL	PTN	Secreted Signaling	brain	ligand_immune__receptor_tumour	PTN	NCL	PTN	NCL	TIME-B	LB	primary	8	0.7142857142857144	0.7142857142857144	0.046528232284167276	5	0.625				below_min_n (5 < 6)	PTN:5/8	NCL:26/27	growth factor	False		PMID: 28356350; PMID: 25620911	0.8430957446808511	10000	0.043495650434956505	9	2	False	True
20	MDK_SDC1	MDK - SDC1	MK	Secreted Signaling	brain	ligand_tumour__receptor_immune	MDK	SDC1	MDK	SDC1	LB	TIME-B	primary	8	0.6904761904761906	0.6904761904761906	0.05799031816457273	4	0.5				below_min_n (4 < 6)	MDK:22/27	SDC1:5/8	growth factor	False	True	PMID: 28356350	0.8430957446808511	10000	0.0775922407759224	9	4	False	False
21	DLL3_NOTCH2	DLL3 - NOTCH2	NOTCH	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	DLL3	NOTCH2	DLL3	NOTCH2	LB	TIME-B	primary	8	-0.6904761904761906	0.6904761904761907	0.05799031816457273	6	0.75	-0.7714285714285715	0.07239650145772594	-0.08095238095238089	fitted	DLL3:20/27	NOTCH2:8/8		True	True	PMID: 22353464	0.8430957446808511	10000	0.0731926807319268	3	5	False	False
